"","State","count"
"1","AK",25
"2","AL",10
"3","AR",5
"4","AZ",47
"5","CA",183
"6","CO",265
"7","CT",27
"8","DC",8
"9","DE",2
"10","FL",58
"11","GA",16
"12","HI",27
"13","IA",30
"14","ID",30
"15","IL",91
"16","IN",139
"17","KS",23
"18","KY",21
"19","LA",19
"20","MA",82
"21","MD",21
"22","ME",27
"23","MI",162
"24","MN",55
"25","MO",42
"26","MS",11
"27","MT",40
"28","NC",59
"29","ND",3
"30","NE",25
"31","NH",8
"32","NJ",8
"33","NM",14
"34","NV",11
"35","NY",74
"36","OH",49
"37","OK",19
"38","OR",125
"39","PA",100
"40","RI",27
"41","SC",14
"42","SD",7
"43","TN",6
"44","TX",130
"45","UT",26
"46","VA",40
"47","VT",27
"48","WA",68
"49","WI",87
"50","WV",2
"51","WY",15
